ID,Name,Twitter Handle,Twitter Page,Website,Bio,Num of following,Num of followers
26308916.0,Breast Cancer Care,BCCare,https://twitter.com/BCCare,https://t.co/Ncr0dwEdsd,"Care, support and information from day one. Call our nurses on 0808 800 6000 or text CARE to 70300 to give £3 and help support those affected by breast cancer",13843,159368
29547412.0,BCPP,BCPPartners,https://twitter.com/BCPPartners,https://t.co/zGWqLOfhso,"Breast Cancer Prevention Partners (BCPP), formerly Breast Cancer Fund, is a trailblazing NPO working to prevent breast cancer before it starts.",10832,28882
7.58e+17,Breast Cancer Sucks,estrogenplus,https://twitter.com/estrogenplus,,Breast cancer chemo mastectomy radiation&hormone therapy 4 grown kids one has Down Syndrome 3 grandsons 6&5&newborn 12/27/16 3lbs1oz Lost son 6wks SIDS ❤️#Hope,9283,11874
36048046.0,Breast Cancer Now,breastcancernow,https://twitter.com/breastcancernow,http://t.co/L7y9CNvbIS,"We're the UK's largest breast cancer charity - and through our research we believe that, by 2050, everyone who develops breast cancer will live.",6043,49523
2715659808.0,Male Breast Cancer,MBCC_MHBT,https://twitter.com/MBCC_MHBT,http://t.co/H5oE35IoUS,The Male Breast Cancer Coalition (MBCC) is your resource for MEN with breast cancer. Our reach is global and continues to grow daily.  #MenHaveBreastsToo,4926,6978
16244789.0,Susan G. Komen,SusanGKomen,https://twitter.com/SusanGKomen,http://t.co/yRj5qcRA9N,"A force united by a promise to end breast cancer, funding groundbreaking research, community health & advocacy programs globally. #MoreThanPink",3964,123429
21768109.0,Breast Cancer Haven,BreastCancerH,https://twitter.com/BreastCancerH,https://t.co/5s0EsPlTCK,We believe in the strength and individuality of every woman who comes to us. We help her hold on to them with a tailored package of emotional & physical support,3468,15700
20163699.0,A Future Without Breast Cancer,BreastCancerCCS,https://twitter.com/BreastCancerCCS,https://t.co/E8FLZjA8nm,"On February 1, 2017, the Canadian Cancer Society @cancersociety and the Canadian Breast Cancer Foundation merged. Welcome to A Future Without Breast Cancer.",3191,11403
39346859.0,Dr. Susan Love,DrSusanLove,https://twitter.com/DrSusanLove,https://t.co/98ItIQkSSA,"Author Dr. Susan Love's Breast Book, bible for women with breast cancer. Mission: Eradicate breast cancer! All tweets are my personal opinion not DSLRF.",2602,9186
3143433532.0,BCCare Cymru,BCCareCymru,https://twitter.com/BCCareCymru,http://t.co/d7VV8xnAOB,All the latest goings on from the Wales Team @BCCare - the only UK-wide specialist support charity for anyone affected by breast cancer.,2543,2459
44184445.0,Breast Cancer Soc.,BCSC,https://twitter.com/BCSC,https://t.co/7aH61BMihl,The Breast Cancer Society of Canada is a charitable organization dedicated to funding Canadian #breastcancer research. Events: #MothersDayWalk #DressfortheCause,2533,9910
14702442.0,Tami,Caffeinated_RNR,https://twitter.com/Caffeinated_RNR,https://t.co/pbOHm6fqFW,God * Family * Running * Coffee * Technology and All Things Disney! * Breast Cancer THRIVER Survivor * Striving to slow down and enjoy life's little moments,2217,830
21228716.0,PA Breast Cancer,PBCC,https://twitter.com/PBCC,http://t.co/e4TFeDmYPN,"Finding a cure now, so our daughters won't have to. Join our grassroots effort as we help women & families across PA.",2084,19755
102707404.0,DE Breast Cancer,DEBreastCancer,https://twitter.com/DEBreastCancer,http://t.co/n4mVzOtbQv,"Delaware Breast Cancer Coalition.

Delaware's statewide breast cancer advocacy, education and support organization.",2070,3593
2842722304.0,Breast Cancer Index,AnswersByond5,https://twitter.com/AnswersByond5,http://t.co/SdICFvSG5L,"We share the latest tips, news, and research on living well after breast cancer. To learn more about Breast Cancer Index, visit us online",2006,1675
335825182.0,Breast Cancer Now Scotland,bcnow_scotland,https://twitter.com/bcnow_scotland,http://t.co/AeDbkeIsjM,"We’re Breast Cancer Now, the largest breast cancer charity working in Scotland – and we’re dedicated to funding research into this devastating disease.",1874,3214
1337436558.0,Breast Cancer News,BC_newsalerts,https://twitter.com/BC_newsalerts,,Keeping you up-to-date with the latest breast cancer news from around the globe. Tweet us if you'd like us to share any useful information! #breastcancer,1700,2280
36683160.0,RethinkBreastCancer,rethinktweet,https://twitter.com/rethinktweet,https://t.co/Hhduj5OiIy,"We are the young women's breast cancer movement. Follow us for the latest on breast health, support + resources, and how you can make an impact.",1641,7925
1630911319.0,YoungerBreastCancer,YBCN_UK,https://twitter.com/YBCN_UK,https://t.co/lJ0KE2jm6m,"Younger Breast Cancer Network (UK),a group for young women in the UK/Ireland with a breast cancer diagnosis. Join our private chat groups on Facebook",1440,2790
199038830.0,HIS Breast Cancer,hisbreastcancer,https://twitter.com/hisbreastcancer,http://t.co/hnQzgDnuYS,Offering Insight and Education on Male Breast Cancer and Breast Cancer in Men.,1283,3259
16298499.0,Dana Leeson,danaleeson,https://twitter.com/danaleeson,https://t.co/ZuicCHkTG7,"Connecting workplace technology to business strategy, co-founder @theICcrowd, member of @Intranetizen and currently fighting Breast Cancer",1110,3487
2653246802.0,Adv 4 Breast Cancer,BreastCancerABC,https://twitter.com/BreastCancerABC,https://t.co/091fVZfd2m,ABC unites SA's active breast cancer organisations with the driving goal of lobbying government to develop and implement an effective Breast Health Policy.,1041,5470
9.25e+17,Breast Cancer Art,ArtBreastCancer,https://twitter.com/ArtBreastCancer,https://t.co/KgXXrDinta,The Breast Cancer Art Project is a platform for those affected by breast cancer to express their experiences of cancer through art #breastcancerart,925,762
325568204.0,EIN Breast Cancer,EINBreastCancer,https://twitter.com/EINBreastCancer,http://t.co/LBnxuxwrgw,Latest breast cancer news for healthcare industry professionals & analysts. Breast Cancer News Today is a media monitoring service provided by EIN News.,913,860
108748376.0,Zero Breast Cancer,zerobreastcancr,https://twitter.com/zerobreastcancr,http://t.co/feMYnjnawl,ZBC promotes breast cancer prevention through targeted communication of evidence-based recommendations that supports health & wellness at key stages of life.,891,1227
